data_i;cod_staz;cod_aggr;tmxgg;cl_tmxgg;tmngg;cl_tmngg;tmdgg;tmdgg1;deltagg;day_gelo;cl_tist;t00;t01;t02;t03;t04;t05;t06;t07;t08;t09;t10;t11;t12;t13;t14;t15;t16;t17;t18;t19;t20;t21;t22;t23
2021-02-12 00:00:00;6660;4;((24, 1), 6.3, 1.2, 5.5, '2021-02-12T00:00:00');;((24, 1), 2.1, 1.3, 5.2, '2021-02-12T23:00:00');;((24, 1), 5.3, 1.2);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-13 00:00:00;6660;4;((24, 1), 3.4, 1.1, 0.9, '2021-02-13T12:00:00');;((24, 1), -1.6, 0.9, 0.3, '2021-02-13T23:00:00');;((24, 1), 0.6, 0.9);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-14 00:00:00;6660;4;((24, 1), 5.1, 2.6, 1.5, '2021-02-14T12:00:00');;((24, 1), -2.5, 2.2, 0.5, '2021-02-14T05:00:00');;((24, 1), 1.0, 2.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-15 00:00:00;6660;4;((24, 1), 7.5, 3.2, 2.9, '2021-02-15T11:00:00');;((24, 1), -0.8, 3.0, 2.0, '2021-02-15T23:00:00');;((24, 1), 2.5, 3.1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-16 00:00:00;6660;4;((24, 1), 12.7, 5.0, 5.3, '2021-02-16T14:00:00');;((24, 1), -1.2, 4.7, 3.8, '2021-02-16T07:00:00');;((24, 1), 4.5, 4.8);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-17 00:00:00;6660;4;((24, 1), 17.8, 5.5, 8.9, '2021-02-17T13:00:00');;((24, 1), 0.8, 5.2, 7.5, '2021-02-17T02:00:00');;((24, 1), 8.1, 5.3);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-18 00:00:00;6660;4;((24, 1), 17.1, 4.2, 10.4, '2021-02-18T11:00:00');;((24, 1), 5.0, 3.8, 9.2, '2021-02-18T05:00:00');;((24, 1), 9.8, 3.9);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-19 00:00:00;6660;4;((24, 1), 17.7, 4.3, 10.9, '2021-02-19T12:00:00');;((24, 1), 6.1, 4.0, 9.7, '2021-02-19T07:00:00');;((24, 1), 10.3, 4.2);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-20 00:00:00;6660;4;((24, 1), 18.1, 4.6, 11.1, '2021-02-20T14:00:00');;((24, 1), 5.4, 4.3, 9.9, '2021-02-20T05:00:00');;((24, 1), 10.5, 4.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-21 00:00:00;6660;4;((24, 1), 15.8, 3.9, 10.2, '2021-02-21T12:00:00');;((24, 1), 4.9, 3.7, 9.1, '2021-02-21T04:00:00');;((24, 1), 9.7, 3.8);;;;;;;;;;;;;;;;;;;;;;;;;;;;
