data_i;cod_staz;cod_aggr;radglob
2021-06-06 00:00:00;6660;4;((24, 1), 191.8, 19.5, 59.0, 0.0)
2021-06-07 00:00:00;6660;4;((24, 1), 181.6, 18.8, 57.0, 0.0)
2021-06-08 00:00:00;6660;4;((24, 1), 190.8, 20.0, 56.0, 0.0)
2021-06-09 00:00:00;6660;4;((24, 1), 273.1, 25.1, 71.0, 0.0)
2021-06-10 00:00:00;6660;4;((24, 1), 281.9, 27.0, 72.0, 0.0)
2021-06-11 00:00:00;6660;4;((24, 1), 297.8, 26.0, 70.0, 0.0)
2021-06-12 00:00:00;6660;4;((24, 1), 301.2, 25.7, 66.0, 0.0)
2021-06-13 00:00:00;6660;4;((24, 1), 317.2, 29.4, 76.0, 0.0)
2021-06-14 00:00:00;6660;4;((24, 1), 302.7, 27.0, 74.0, 0.0)
2021-06-15 00:00:00;6660;4;((24, 1), 353.1, 30.7, 78.0, 0.0)
2021-06-16 00:00:00;6660;4;((24, 1), 299.3, 26.2, 69.0, 0.0)
2021-06-17 00:00:00;6660;4;((24, 1), 336.1, 29.7, 75.0, 0.0)
2021-06-18 00:00:00;6660;4;((24, 1), 191.3, 21.7, 67.0, 0.0)
2021-06-19 00:00:00;6660;4;((24, 1), 265.4, 24.0, 64.0, 0.0)
2021-06-20 00:00:00;6660;4;((24, 1), 238.3, 23.1, 68.0, 0.0)
2021-06-21 00:00:00;6660;4;((24, 1), 274.6, 26.1, 67.0, 0.0)
2021-06-22 00:00:00;6660;4;((24, 1), 317.2, 28.9, 72.0, 0.0)
2021-06-23 00:00:00;6660;4;((24, 1), 293.0, 26.8, 69.0, 0.0)
2021-06-24 00:00:00;6660;4;((24, 1), 254.3, 23.2, 61.0, 0.0)
2021-06-25 00:00:00;6660;4;((24, 1), 266.4, 25.1, 68.0, 0.0)
2021-06-26 00:00:00;6660;4;((24, 1), 340.0, 29.6, 75.0, 0.0)
2021-06-27 00:00:00;6660;4;((24, 1), 333.7, 29.5, 75.0, 0.0)
2021-06-28 00:00:00;6660;4;((24, 1), 308.0, 28.4, 72.0, 0.0)
2021-06-29 00:00:00;6660;4;((24, 1), 300.3, 26.3, 68.0, 0.0)
2021-06-30 00:00:00;6660;4;((24, 1), 327.4, 28.9, 74.0, 0.0)
2021-07-01 00:00:00;6660;4;((24, 1), 306.1, 26.9, 70.0, 0.0)
2021-07-02 00:00:00;6660;4;((24, 1), 304.6, 27.6, 73.0, 0.0)
2021-07-03 00:00:00;6660;4;((24, 1), 311.9, 27.5, 73.0, 0.0)
