data_i;cod_staz;cod_aggr;ur;ur00;ur01;ur02;ur03;ur04;ur05;ur06;cl_ur06;ur07;ur08;ur09;ur10;ur11;ur12;cl_ur12;ur13;ur14;ur15;ur16;ur17;ur18;ur19;ur20;ur21;ur22;ur23
2021-03-25 00:00:00;6660;4;((24, 1), 61.6, 14.8, (None, None), 87.0, 37.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-26 00:00:00;6660;4;((24, 1), 63.7, 13.6, (None, None), 83.0, 45.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-27 00:00:00;6660;4;((24, 1), 77.7, 15.7, (None, None), 98.0, 53.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-28 00:00:00;6660;4;((24, 1), 78.6, 16.9, (None, None), 100.0, 55.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-29 00:00:00;6660;4;((24, 1), 75.2, 16.7, (None, None), 100.0, 52.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-30 00:00:00;6660;4;((24, 1), 64.8, 12.6, (None, None), 87.0, 45.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-31 00:00:00;6660;4;((24, 1), 61.3, 13.0, (None, None), 77.0, 41.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-01 00:00:00;6660;4;((24, 1), 61.0, 11.7, (None, None), 73.0, 39.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-02 00:00:00;6660;4;((24, 1), 60.0, 13.4, (None, None), 84.0, 41.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-03 00:00:00;6660;4;((24, 1), 86.8, 13.3, (None, None), 100.0, 66.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-04 00:00:00;6660;4;((24, 1), 76.2, 14.6, (None, None), 100.0, 56.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-05 00:00:00;6660;4;((24, 1), 70.7, 16.0, (None, None), 96.0, 47.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-06 00:00:00;6660;4;((24, 1), 88.8, 13.5, (None, None), 100.0, 62.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-07 00:00:00;6660;4;((24, 1), 70.2, 17.5, (None, None), 98.0, 45.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-08 00:00:00;6660;4;((24, 1), 49.9, 19.8, (None, None), 75.0, 21.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-09 00:00:00;6660;4;((24, 1), 60.2, 15.6, (None, None), 85.0, 39.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-10 00:00:00;6660;4;((24, 1), 71.9, 15.7, (None, None), 98.0, 46.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-11 00:00:00;6660;4;((24, 1), 84.6, 14.5, (None, None), 100.0, 63.0);;;;;;;;;;;;;;;;;;;;;;;;;;
